id,season,week,seasonType,startTime,isStartTimeTBD,homeTeam,homeConference,awayTeam,awayConference,mediaType,outlet
400799976,2015,12,regular,2015-11-22T00:00:00.000Z,False,Central Arkansas,Southland,Sam Houston,Southland,web,ESPN3
400799967,2015,10,regular,2015-11-08T00:00:00.000Z,False,McNeese,Southland,Sam Houston,Southland,web,ESPN3
400854529,2015,14,regular,2015-12-06T00:00:00.000Z,False,McNeese,Southland,Sam Houston,Southland,web,ESPN3
400756895,2015,1,regular,2015-09-03T23:30:00.000Z,False,Georgia Tech,ACC,Alcorn State,SWAC,web,ESPN3
400756900,2015,1,regular,2015-09-05T22:00:00.000Z,False,Miami,ACC,Bethune-Cookman,MEAC,web,ESPN3
400763496,2015,1,regular,2015-09-05T16:00:00.000Z,False,Rutgers,Big Ten,Norfolk State,MEAC,tv,ESPNN
400787412,2015,1,regular,2015-09-05T19:30:00.000Z,False,App State,Sun Belt,Howard,MEAC,web,ESPN3
400756906,2015,2,regular,2015-09-12T17:00:00.000Z,False,Boston College,ACC,Howard,MEAC,web,ESPN3
400787305,2015,2,regular,2015-09-12T22:00:00.000Z,False,Kent State,Mid-American,Delaware State,MEAC,web,ESPN3
400795589,2015,1,regular,2015-09-05T23:00:00.000Z,False,Liberty,Big South,Delaware State,MEAC,web,ESPN3
400756913,2015,2,regular,2015-09-12T22:00:00.000Z,False,North Carolina,ACC,North Carolina A&T,MEAC,web,ESPN3
400855897,2015,15,regular,2015-12-12T17:00:00.000Z,False,Sam Houston,Southland,Colgate,Patriot,web,ESPN3
400854528,2015,14,regular,2015-12-05T18:00:00.000Z,False,James Madison,CAA,Colgate,Patriot,web,ESPN3
400764860,2015,1,regular,2015-09-05T16:00:00.000Z,False,Navy,American Athletic,Colgate,Patriot,tv,CBSSN
400760495,2015,7,regular,2015-10-17T16:00:00.000Z,False,Army,FBS Independents,Bucknell,Patriot,tv,CBSSN
400795615,2015,7,regular,2015-10-17T17:00:00.000Z,False,Monmouth,Big South,Liberty,Big South,web,ESPN3
400787446,2015,5,regular,2015-10-03T19:30:00.000Z,False,Georgia State,Sun Belt,Liberty,Big South,web,ESPN3
400795625,2015,11,regular,2015-11-14T19:00:00.000Z,False,Charleston Southern,Big South,Liberty,Big South,web,ESPN3
400795603,2015,4,regular,2015-09-26T23:00:00.000Z,False,Southern Illinois,MVFC,Liberty,Big South,web,ESPN3
400763608,2015,4,regular,2015-09-26T19:30:00.000Z,False,Kent State,Mid-American,Marshall,Conference USA,web,ESPN3
400763595,2015,2,regular,2015-09-12T23:00:00.000Z,False,Ohio,Mid-American,Marshall,Conference USA,web,ESPN3
400763664,2015,13,regular,2015-11-27T17:00:00.000Z,False,Western Kentucky,Conference USA,Marshall,Conference USA,tv,FS1
400763588,2015,1,regular,2015-09-05T19:30:00.000Z,False,Eastern Michigan,Mid-American,Old Dominion,Conference USA,web,ESPN3
400763623,2015,6,regular,2015-10-09T23:00:00.000Z,False,Marshall,Conference USA,Southern Miss,Conference USA,tv,CBSSN
400763606,2015,3,regular,2015-09-19T23:00:00.000Z,False,Texas State,Sun Belt,Southern Miss,Conference USA,web,ESPN3
400852672,2015,14,regular,2015-12-05T17:00:00.000Z,False,Western Kentucky,Conference USA,Southern Miss,Conference USA,tv,ESPN2
400763522,2015,4,regular,2015-09-26T16:00:00.000Z,False,Nebraska,Big Ten,Southern Miss,Conference USA,tv,ESPNN
400795617,2015,8,regular,2015-10-24T17:00:00.000Z,False,Monmouth,Big South,Coastal Carolina,Big South,web,ESPN3
400795628,2015,12,regular,2015-11-20T00:00:00.000Z,False,Liberty,Big South,Coastal Carolina,Big South,tv,ESPNN
400795588,2015,1,regular,2015-09-05T23:00:00.000Z,False,Furman,Southern,Coastal Carolina,Big South,web,ESPN3
400855896,2015,15,regular,2015-12-12T01:00:00.000Z,False,Jacksonville State,OVC,Charleston Southern,Big South,tv,ESPN2
400603921,2015,12,regular,2015-11-21T21:00:00.000Z,False,Alabama,SEC,Charleston Southern,Big South,tv,SECN
400787419,2015,2,regular,2015-09-12T23:00:00.000Z,False,Troy,Sun Belt,Charleston Southern,Big South,web,ESPN3
400795614,2015,7,regular,2015-10-17T17:00:00.000Z,False,Kennesaw State,Big South,Gardner-Webb,Big South,web,ESPN3
400787414,2015,1,regular,2015-09-05T22:00:00.000Z,False,South Alabama,Sun Belt,Gardner-Webb,Big South,web,ESPN3
400756893,2015,2,regular,2015-09-13T03:00:00.000Z,False,Arizona State,Pac-12,Cal Poly,Big Sky,tv,PAC12
400764857,2015,1,regular,2015-09-05T22:00:00.000Z,False,East Carolina,American Athletic,Towson,CAA,web,ESPN3
400756886,2015,1,regular,2015-09-06T00:00:00.000Z,False,Oregon,Pac-12,Eastern Washington,Big Sky,tv,PAC12
400787120,2015,3,regular,2015-09-19T01:00:00.000Z,False,Boise State,Mountain West,Idaho State,Big Sky,tv,CBSSN
400795519,2015,3,regular,2015-09-19T23:00:00.000Z,False,Liberty,Big South,Montana,Big Sky,web,ESPN3
400757024,2015,3,regular,2015-09-20T03:00:00.000Z,False,Arizona,Pac-12,Northern Arizona,Big Sky,tv,PAC12
400756889,2015,1,regular,2015-09-05T18:00:00.000Z,False,Washington State,Pac-12,Portland State,Big Sky,tv,PAC12
400757020,2015,2,regular,2015-09-12T18:00:00.000Z,False,Washington,Pac-12,Sacramento State,Big Sky,tv,PAC12
400756887,2015,1,regular,2015-09-05T00:00:00.000Z,False,Oregon State,Pac-12,Weber State,Big Sky,tv,PAC12
400763504,2015,2,regular,2015-09-12T20:00:00.000Z,False,Northwestern,Big Ten,Eastern Illinois,OVC,tv,ESPNN
400787360,2015,12,regular,2015-11-21T20:30:00.000Z,False,Akron,Mid-American,Buffalo,Mid-American,tv,CBSSN
400787345,2015,10,regular,2015-11-06T00:00:00.000Z,False,Kent State,Mid-American,Buffalo,Mid-American,web,ESPN3
400787340,2015,9,regular,2015-10-29T23:30:00.000Z,False,Miami (OH),Mid-American,Buffalo,Mid-American,web,ESPN3
400787332,2015,7,regular,2015-10-17T17:00:00.000Z,False,Central Michigan,Mid-American,Buffalo,Mid-American,web,ESPN3
400763506,2015,2,regular,2015-09-12T16:00:00.000Z,False,Penn State,Big Ten,Buffalo,Mid-American,tv,ESPN2
400603914,2015,13,regular,2015-11-29T00:30:00.000Z,False,Florida,SEC,Florida State,ACC,tv,ESPN
400756962,2015,8,regular,2015-10-24T23:00:00.000Z,False,Georgia Tech,ACC,Florida State,ACC,tv,ESPN2
400756941,2015,5,regular,2015-10-03T19:30:00.000Z,False,Wake Forest,ACC,Florida State,ACC,tv,ESPN
400756974,2015,10,regular,2015-11-07T20:30:00.000Z,False,Clemson,ACC,Florida State,ACC,tv,ABC
400756920,2015,3,regular,2015-09-19T00:00:00.000Z,False,Boston College,ACC,Florida State,ACC,tv,ESPN
400756986,2015,12,regular,2015-11-22T00:30:00.000Z,False,Notre Dame,FBS Independents,Boston College,ACC,tv,NBCSN
400756959,2015,8,regular,2015-10-24T16:30:00.000Z,False,Louisville,ACC,Boston College,ACC,web,ESPN3
400756995,2015,13,regular,2015-11-28T17:30:00.000Z,False,Syracuse,ACC,Boston College,ACC,web,ESPN3
400756939,2015,5,regular,2015-10-03T19:30:00.000Z,False,Duke,ACC,Boston College,ACC,web,ESPN3
400756953,2015,7,regular,2015-10-17T23:00:00.000Z,False,Clemson,ACC,Boston College,ACC,tv,ESPNU
400603919,2015,13,regular,2015-11-28T17:00:00.000Z,False,South Carolina,SEC,Clemson,ACC,tv,ESPN
400756919,2015,3,regular,2015-09-17T23:30:00.000Z,False,Louisville,ACC,Clemson,ACC,tv,ESPN
400756919,2015,3,regular,2015-09-17T23:30:00.000Z,False,Louisville,ACC,Clemson,ACC,radio,ESPNRM
400756980,2015,11,regular,2015-11-14T20:30:00.000Z,False,Syracuse,ACC,Clemson,ACC,tv,ABC
400756980,2015,11,regular,2015-11-14T20:30:00.000Z,False,Syracuse,ACC,Clemson,ACC,tv,ESPN2
400756960,2015,8,regular,2015-10-24T16:00:00.000Z,False,Miami,ACC,Clemson,ACC,tv,ABC
400756969,2015,9,regular,2015-10-31T19:30:00.000Z,False,NC State,ACC,Clemson,ACC,tv,ABC
400756969,2015,9,regular,2015-10-31T19:30:00.000Z,False,NC State,ACC,Clemson,ACC,tv,ESPN2
400852728,2015,1,postseason,2015-12-30T20:30:00.000Z,False,Mississippi State,SEC,NC State,ACC,tv,ESPN
400852728,2015,1,postseason,2015-12-30T20:30:00.000Z,False,Mississippi State,SEC,NC State,ACC,radio,ESPNRM
400756936,2015,4,regular,2015-09-27T00:00:00.000Z,False,South Alabama,Sun Belt,NC State,ACC,tv,ESPNN
400756946,2015,6,regular,2015-10-10T00:00:00.000Z,False,Virginia Tech,ACC,NC State,ACC,tv,ESPN
400756964,2015,8,regular,2015-10-24T16:00:00.000Z,False,Wake Forest,ACC,NC State,ACC,web,ESPN3
400756973,2015,10,regular,2015-11-07T17:30:00.000Z,False,Boston College,ACC,NC State,ACC,web,ESPN3
400756982,2015,11,regular,2015-11-14T17:30:00.000Z,False,Florida State,ACC,NC State,ACC,web,ESPN3
400756985,2015,11,regular,2015-11-14T20:30:00.000Z,False,Notre Dame,FBS Independents,Wake Forest,ACC,tv,NBC
400756916,2015,2,regular,2015-09-12T16:30:00.000Z,False,Syracuse,ACC,Wake Forest,ACC,web,ESPN3
400756957,2015,7,regular,2015-10-17T23:00:00.000Z,False,North Carolina,ACC,Wake Forest,ACC,web,ESPN3
400756987,2015,12,regular,2015-11-21T20:30:00.000Z,False,Clemson,ACC,Wake Forest,ACC,tv,ESPN2
400756947,2015,6,regular,2015-10-10T19:00:00.000Z,False,Boston College,ACC,Wake Forest,ACC,web,ESPN3
400756930,2015,3,regular,2015-09-19T16:00:00.000Z,False,Army,FBS Independents,Wake Forest,ACC,tv,CBSSN
400756937,2015,4,regular,2015-09-26T19:30:00.000Z,False,East Carolina,American Athletic,Virginia Tech,ACC,tv,ABC
400756937,2015,4,regular,2015-09-26T19:30:00.000Z,False,East Carolina,American Athletic,Virginia Tech,ACC,tv,ESPN2
400756937,2015,4,regular,2015-09-26T19:30:00.000Z,False,East Carolina,American Athletic,Virginia Tech,ACC,web,ESPN3
400756998,2015,13,regular,2015-11-28T17:00:00.000Z,False,Virginia,ACC,Virginia Tech,ACC,tv,ESPNU
400756979,2015,11,regular,2015-11-13T00:30:00.000Z,False,Georgia Tech,ACC,Virginia Tech,ACC,tv,ESPN
400756979,2015,11,regular,2015-11-13T00:30:00.000Z,False,Georgia Tech,ACC,Virginia Tech,ACC,radio,ESPNRM
400756956,2015,7,regular,2015-10-17T19:30:00.000Z,False,Miami,ACC,Virginia Tech,ACC,tv,ESPNU
400756968,2015,9,regular,2015-10-31T16:30:00.000Z,False,Boston College,ACC,Virginia Tech,ACC,web,ESPN3
400756929,2015,3,regular,2015-09-19T19:30:00.000Z,False,Purdue,Big Ten,Virginia Tech,ACC,tv,ESPNU
400756912,2015,2,regular,2015-09-12T00:00:00.000Z,False,Florida Atlantic,Conference USA,Miami,ACC,tv,FS1
400852716,2015,1,postseason,2015-12-26T19:15:00.000Z,False,Washington State,Pac-12,Miami,ACC,tv,CBS
400764873,2015,5,regular,2015-10-01T23:30:00.000Z,False,Cincinnati,American Athletic,Miami,ACC,tv,ESPN
400756994,2015,13,regular,2015-11-27T17:00:00.000Z,False,Pittsburgh,ACC,Miami,ACC,tv,ESPN2
400756970,2015,9,regular,2015-10-31T23:00:00.000Z,False,Duke,ACC,Miami,ACC,tv,ESPNU
400756984,2015,11,regular,2015-11-14T20:30:00.000Z,False,North Carolina,ACC,Miami,ACC,tv,ESPNU
400756950,2015,6,regular,2015-10-11T00:00:00.000Z,False,Florida State,ACC,Miami,ACC,tv,ABC
400756922,2015,3,regular,2015-09-19T19:30:00.000Z,False,Notre Dame,FBS Independents,Georgia Tech,ACC,tv,NBC
400756933,2015,4,regular,2015-09-26T16:00:00.000Z,False,Duke,ACC,Georgia Tech,ACC,tv,ESPN2
400756972,2015,9,regular,2015-10-31T19:00:00.000Z,False,Virginia,ACC,Georgia Tech,ACC,web,ESPN3
400756990,2015,12,regular,2015-11-21T17:30:00.000Z,False,Miami,ACC,Georgia Tech,ACC,web,ESPN3
400756948,2015,6,regular,2015-10-10T19:30:00.000Z,False,Clemson,ACC,Georgia Tech,ACC,tv,ABC
400756948,2015,6,regular,2015-10-10T19:30:00.000Z,False,Clemson,ACC,Georgia Tech,ACC,tv,ESPN2
400756948,2015,6,regular,2015-10-10T19:30:00.000Z,False,Clemson,ACC,Georgia Tech,ACC,radio,ESPNRM
400852724,2015,1,postseason,2015-12-29T22:30:00.000Z,False,Baylor,Big 12,North Carolina,ACC,tv,ESPN
400852724,2015,1,postseason,2015-12-29T22:30:00.000Z,False,Baylor,Big 12,North Carolina,ACC,radio,ESPNRM
400603840,2015,1,regular,2015-09-03T22:00:00.000Z,False,South Carolina,SEC,North Carolina,ACC,tv,ESPN
400756966,2015,9,regular,2015-10-29T23:00:00.000Z,False,Pittsburgh,ACC,North Carolina,ACC,tv,ESPN
400756942,2015,5,regular,2015-10-03T19:30:00.000Z,False,Georgia Tech,ACC,North Carolina,ACC,tv,ESPNU
400756992,2015,12,regular,2015-11-21T17:00:00.000Z,False,Virginia Tech,ACC,North Carolina,ACC,tv,ESPN
400756997,2015,13,regular,2015-11-28T20:30:00.000Z,False,NC State,ACC,North Carolina,ACC,tv,ABC
400756997,2015,13,regular,2015-11-28T20:30:00.000Z,False,NC State,ACC,North Carolina,ACC,tv,ESPN2
400852676,2015,14,regular,2015-12-06T01:00:00.000Z,False,Clemson,ACC,North Carolina,ACC,tv,ABC
400852676,2015,14,regular,2015-12-06T01:00:00.000Z,False,Clemson,ACC,North Carolina,ACC,radio,ESPNRM
400756904,2015,1,regular,2015-09-05T19:30:00.000Z,False,UCLA,Pac-12,Virginia,ACC,tv,FOX
400756983,2015,11,regular,2015-11-14T17:30:00.000Z,False,Louisville,ACC,Virginia,ACC,web,ESPN3
400756951,2015,6,regular,2015-10-10T16:30:00.000Z,False,Pittsburgh,ACC,Virginia,ACC,web,ESPN3
400756963,2015,8,regular,2015-10-24T19:30:00.000Z,False,North Carolina,ACC,Virginia,ACC,web,ESPN3
400756977,2015,10,regular,2015-11-07T20:00:00.000Z,False,Miami,ACC,Virginia,ACC,web,ESPN3
400756894,2015,1,regular,2015-09-04T01:30:00.000Z,False,Tulane,American Athletic,Duke,ACC,tv,CBSSN
400756988,2015,12,regular,2015-11-21T20:30:00.000Z,False,Virginia,ACC,Duke,ACC,web,ESPN3
400756975,2015,10,regular,2015-11-07T17:00:00.000Z,False,North Carolina,ACC,Duke,ACC,tv,ESPN2
400756961,2015,8,regular,2015-10-24T19:30:00.000Z,False,Virginia Tech,ACC,Duke,ACC,tv,ESPNU
400756996,2015,13,regular,2015-11-28T17:30:00.000Z,False,Wake Forest,ACC,Duke,ACC,web,ESPN3
400756949,2015,6,regular,2015-10-10T16:00:00.000Z,False,Army,FBS Independents,Duke,ACC,tv,CBSSN
400787334,2015,8,regular,2015-10-24T17:00:00.000Z,False,Kent State,Mid-American,Bowling Green,Mid-American,web,ESPN3
400834350,2015,1,regular,2015-09-05T20:00:00.000Z,False,Tennessee,SEC,Bowling Green,Mid-American,tv,SECN
400852680,2015,14,regular,2015-12-05T01:00:00.000Z,False,Northern Illinois,Mid-American,Bowling Green,Mid-American,tv,ESPN2
400787361,2015,13,regular,2015-11-25T00:00:00.000Z,False,Ball State,Mid-American,Bowling Green,Mid-American,web,ESPN3
400787352,2015,11,regular,2015-11-12T01:00:00.000Z,False,Western Michigan,Mid-American,Bowling Green,Mid-American,tv,ESPN2
400763502,2015,2,regular,2015-09-12T16:00:00.000Z,False,Maryland,Big Ten,Bowling Green,Mid-American,tv,BTN
400787318,2015,5,regular,2015-10-03T19:30:00.000Z,False,Buffalo,Mid-American,Bowling Green,Mid-American,web,ESPN3
400763526,2015,4,regular,2015-09-26T16:00:00.000Z,False,Purdue,Big Ten,Bowling Green,Mid-American,tv,BTN
400603891,2015,8,regular,2015-10-24T20:00:00.000Z,False,Vanderbilt,SEC,Missouri,SEC,tv,SECN
400603846,2015,4,regular,2015-09-26T23:30:00.000Z,False,Kentucky,SEC,Missouri,SEC,tv,SECN
400603892,2015,7,regular,2015-10-17T23:30:00.000Z,False,Georgia,SEC,Missouri,SEC,tv,SECN
400603912,2015,13,regular,2015-11-27T19:30:00.000Z,False,Arkansas,SEC,Missouri,SEC,tv,CBS
400603862,2015,2,regular,2015-09-12T23:00:00.000Z,False,Arkansas State,Sun Belt,Missouri,SEC,web,ESPN3
400603917,2015,13,regular,2015-11-29T00:30:00.000Z,False,LSU,SEC,Texas A&M,SEC,tv,SECN
400603917,2015,13,regular,2015-11-29T00:30:00.000Z,False,LSU,SEC,Texas A&M,SEC,radio,ESPNRM
400603930,2015,12,regular,2015-11-22T00:30:00.000Z,False,Vanderbilt,SEC,Texas A&M,SEC,tv,SECN
400603842,2015,4,regular,2015-09-26T23:00:00.000Z,False,Arkansas,SEC,Texas A&M,SEC,tv,ESPN
